Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,PLANTA,FRUTO,SEVERIDAD (%),INCIDENCIA
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,3,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,5,70,1
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,4,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,3,40,1
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,7,60,1
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,9,70,1
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,5,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,9,40,1
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,6,10,30,1
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,7,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,3,50,1
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,8,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,8,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,9,40,1
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,9,10,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,1,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,2,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,3,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,4,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,5,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,6,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,7,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,8,65,1
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,9,0,0
0,25.60115972,80.95736458,21.54459028,0.039930556,0.626736111,188.5104167,10,10,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,3,10,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,4,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,5,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,6,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,7,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,8,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,9,90,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,1,10,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,3,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,4,100,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,5,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,6,80,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,7,100,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,8,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,9,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,2,10,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,3,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,4,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,5,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,6,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,7,50,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,8,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,9,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,3,10,100,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,3,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,4,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,5,80,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,6,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,7,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,8,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,9,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,4,10,100,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,3,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,4,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,5,80,1
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,6,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,7,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,8,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,9,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,5,10,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,3,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,4,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,5,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,6,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,7,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,8,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,9,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,6,10,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,1,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,2,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,3,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,4,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,5,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,6,0,0
0,23.69477431,79.28651389,19.08063889,0.192708333,0.90625,165.1666667,7,7,0,0
